Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,RDataPath,Tags,Notes
A Clean Expression Matrix of the GEOGSE102403 Dataset.,MDI-induced 3T3-L1 pre-adipocytes with siRNA/none treatment for none/Cd24a,3.9,mm10,GSEmatrix,https://github.com/MahShaaban/curatedAdipoArray,October 10 2019,Mus musculus,10090,TRUE,GEO,Mahmoud Ahmed <mahmoud.s.fahmy@students.kasralainy.edu.eg>,ExpressionSet,Rds,cleandata/GSE102403.eSet.rds,,
A Clean Expression Matrix of the GEOGSE122054 Dataset.,MDI-induced 3T3-L1 pre-adipocytes with shRNA treatment for slincRAD/none,3.9,mm10,GSEmatrix,https://github.com/MahShaaban/curatedAdipoArray,October 10 2019,Mus musculus,10090,TRUE,GEO,Mahmoud Ahmed <mahmoud.s.fahmy@students.kasralainy.edu.eg>,ExpressionSet,Rds,cleandata/GSE122054.eSet.rds,,
A Clean Expression Matrix of the GEOGSE12929 Dataset.,MDI-induced 3T3-L1 pre-adipocytes with siRNA treatment for none/Pparg,3.9,mm10,GSEmatrix,https://github.com/MahShaaban/curatedAdipoArray,October 10 2019,Mus musculus,10090,TRUE,GEO,Mahmoud Ahmed <mahmoud.s.fahmy@students.kasralainy.edu.eg>,ExpressionSet,Rds,cleandata/GSE12929.eSet.rds,,
A Clean Expression Matrix of the GEOGSE14004 Dataset.,MDI-induced 3T3-L1 pre-adipocytes with none/siRNA treatment for none/Pparg,3.9,mm10,GSEmatrix,https://github.com/MahShaaban/curatedAdipoArray,October 10 2019,Mus musculus,10090,TRUE,GEO,Mahmoud Ahmed <mahmoud.s.fahmy@students.kasralainy.edu.eg>,ExpressionSet,Rds,cleandata/GSE14004.eSet.rds,,
A Clean Expression Matrix of the GEOGSE1458 Dataset.,MDI-induced 3T3-L1 pre-adipocytes with dmso/pioglitazone/rosiglitazone/troglitazone treatment for none/insulin response,3.9,mm10,GSEmatrix,https://github.com/MahShaaban/curatedAdipoArray,October 10 2019,Mus musculus,10090,TRUE,GEO,Mahmoud Ahmed <mahmoud.s.fahmy@students.kasralainy.edu.eg>,ExpressionSet,Rds,cleandata/GSE1458.eSet.rds,,
A Clean Expression Matrix of the GEOGSE14810 Dataset.,MDI-induced 3T3-L1 pre-adipocytes with rosiglitazone/dmso treatment for insulin response/none,3.9,mm10,GSEmatrix,https://github.com/MahShaaban/curatedAdipoArray,October 10 2019,Mus musculus,10090,TRUE,GEO,Mahmoud Ahmed <mahmoud.s.fahmy@students.kasralainy.edu.eg>,ExpressionSet,Rds,cleandata/GSE14810.eSet.rds,,
A Clean Expression Matrix of the GEOGSE14888 Dataset.,"MDI-induced 3T3-L1 pre-adipocytes with linoleic acide/CLA/metformin/CLA,metformin treatment for AMPK",3.9,mm10,GSEmatrix,https://github.com/MahShaaban/curatedAdipoArray,October 10 2019,Mus musculus,10090,TRUE,GEO,Mahmoud Ahmed <mahmoud.s.fahmy@students.kasralainy.edu.eg>,ExpressionSet,Rds,cleandata/GSE14888.eSet.rds,,
A Clean Expression Matrix of the GEOGSE15018 Dataset.,MDI-induced 3T3-L1 pre-adipocytes with none/dmso/prieurianin treatment for none/Zfp68,3.9,mm10,GSEmatrix,https://github.com/MahShaaban/curatedAdipoArray,October 10 2019,Mus musculus,10090,TRUE,GEO,Mahmoud Ahmed <mahmoud.s.fahmy@students.kasralainy.edu.eg>,ExpressionSet,Rds,cleandata/GSE15018.eSet.rds,,
A Clean Expression Matrix of the GEOGSE17404 Dataset.,MDI-induced 3T3-L1 pre-adipocytes with linoleic acide/CLA/phenoformin treatment for AMPK,3.9,mm10,GSEmatrix,https://github.com/MahShaaban/curatedAdipoArray,October 10 2019,Mus musculus,10090,TRUE,GEO,Mahmoud Ahmed <mahmoud.s.fahmy@students.kasralainy.edu.eg>,ExpressionSet,Rds,cleandata/GSE17404.eSet.rds,,
A Clean Expression Matrix of the GEOGSE18598 Dataset.,MDI-induced 3T3-L1 pre-adipocytes with siRNA/LSD1 inhibitor treatment for none/Kdm1a/Rfk/LSD1,3.9,mm10,GSEmatrix,https://github.com/MahShaaban/curatedAdipoArray,October 10 2019,Mus musculus,10090,TRUE,GEO,Mahmoud Ahmed <mahmoud.s.fahmy@students.kasralainy.edu.eg>,ExpressionSet,Rds,cleandata/GSE18598.eSet.rds,,
